id,onpromotion,dcoilwtico,sales
3000888,0,46.8,1.9906787
3002670,0,47.07,2.0316746
3004452,0,48.59,2.0136106
3006234,0,48.190000000000005,1.957607
3008016,0,47.79,2.159901
3009798,0,47.39,2.1659427
3011580,0,47.65,1.9284751
3013362,0,48.45,1.9969392
3015144,0,47.24,2.1035502
3016926,0,47.65,1.9616008
3018708,0,47.233333333333334,2.0725093
3020490,0,46.81666666666666,1.95232
3022272,0,46.4,2.0127242
3024054,0,46.46,1.9436644
3025836,0,45.96,2.0187886
3027618,0,47.26,2.20999
3000889,0,46.8,-0.00016072765
3002671,0,47.07,-0.00036606938
3004453,0,48.59,0.0007481463
3006235,0,48.190000000000005,-0.000641305
3008017,0,47.79,0.0003307946
3009799,0,47.39,0.0011074841
3011581,0,47.65,-0.0010727867
3013363,0,48.45,0.0016681738
3015145,0,47.24,0.00013164058
3016927,0,47.65,-0.0007403232
3018709,0,47.233333333333334,0.0028786995
3020491,0,46.81666666666666,-0.0036092065
3022273,0,46.4,0.0009902231
3024055,0,46.46,-0.0015213527
3025837,0,45.96,0.00073262304
3027619,0,47.26,0.0024252795
3000890,2,46.8,3.4347312
3002672,1,47.07,3.612324
3004454,1,48.59,3.5259197
3006236,1,48.190000000000005,3.682508
3008018,1,47.79,3.675534
3009800,1,47.39,3.6512914
3011582,0,47.65,3.495532
3013364,1,48.45,3.488353
3015146,0,47.24,3.597978
3016928,0,47.65,3.556866
3018710,1,47.233333333333334,3.52556
3020492,1,46.81666666666666,3.5997214
3022274,1,46.4,3.6234727
3024056,1,46.46,3.6870534
3025838,0,45.96,3.5564718
3027620,1,47.26,3.6036043
3000891,20,46.8,2004.6406
3002673,17,47.07,2030.1675
3004455,12,48.59,2023.7733
3006237,11,48.190000000000005,2057.0684
3008019,10,47.79,2039.0027
3009801,14,47.39,2037.3386
3011583,9,47.65,2026.616
3013365,27,48.45,2025.977
3015147,26,47.24,2015.8903
3016929,32,47.65,2033.5022
3018711,32,47.233333333333334,2019.5187
3020493,23,46.81666666666666,2025.5911
3022275,31,46.4,2040.1937
3024057,31,46.46,2060.1128
3025839,35,45.96,2024.1522
3027621,33,47.26,2019.8278
3000892,0,46.8,0.6679071
3002674,0,47.07,0.6789289
3004456,0,48.59,0.6683934
3006238,0,48.190000000000005,0.66885436
3008020,0,47.79,0.67877
3009802,0,47.39,0.6616005
3011584,0,47.65,0.6668915
3013366,0,48.45,0.66885877
3015148,0,47.24,0.6828075
3016930,0,47.65,0.68739045
3018712,0,47.233333333333334,0.68485785
3020494,0,46.81666666666666,0.6617598
3022276,0,46.4,0.6851108
3024058,0,46.46,0.6685284
3025840,0,45.96,0.6627592
3027622,0,47.26,0.67750484
